id,kind,record_type,title,primary_theme,tags,layers,privacy_level,status,source_path,source_consult_id,record_path
consult-202211-career-vs-grad-school-family-opinion,02-normalized,qa_thread,考研、工作和家人意见之间的摇摆,学历提升和考研,"考研, 找工作, 家庭压力, 自我边界, 女性处境","content, service, connection",anonymized,normalized,问答咨询/202211.md,,02-normalized/consult-202211-career-vs-grad-school-family-opinion.md
consult-202211-miu-java-esl-fees,02-normalized,qa_thread,4年Java经验者询问MIU ESL和学费缴纳细节,出国读书和海外求职,"Java, 美国硕士, 英语, 学费, MIU",content,anonymized,normalized,问答咨询/202211.md,,02-normalized/consult-202211-miu-java-esl-fees.md
consult-202211-small-city-work-study,02-normalized,qa_thread,小城市女生在工作、考研和离开家乡之间纠结,小城市女性职业起步,"小城市, 大城市, 找工作, 考研, 家庭压力, 女性处境","content, service, connection",anonymized,normalized,问答咨询/202211.md,,02-normalized/consult-202211-small-city-work-study.md
consult-202211-wechat-boundary,02-normalized,qa_thread,回应老读者加微信请求时的私域边界,私域沟通边界,"加微信, 边界, 私域",content,anonymized,normalized,问答咨询/202211.md,,02-normalized/consult-202211-wechat-boundary.md
consult-202301-selfstudy-degree-miu-application,02-normalized,qa_thread,自考本科有毕业证无学位证，能否申请美国项目,出国读书和海外求职,"自考, 学位证, 美国硕士, 成绩单",content,anonymized,normalized,问答咨询/202301.md,,02-normalized/consult-202301-selfstudy-degree-miu-application.md
consult-202302-art-student-overseas-undergrad-plan,02-normalized,qa_thread,艺术类专科生想出国，但语言、护照和资金未准备好,出国读书和海外求职,"艺术, 自媒体, 出国, 本科, 家庭创伤","content, service",private,normalized,问答咨询/202302.md,,02-normalized/consult-202302-art-student-overseas-undergrad-plan.md
consult-202303-selfstudy-cs-gradschool-work,02-normalized,qa_thread,自考生考研二战失败后，在工作、三战和港澳新申请之间迷茫,学历提升和考研,"自考, 考研, 计算机, 港澳新, 找工作","content, service",anonymized,normalized,问答咨询/202303.md,,02-normalized/consult-202303-selfstudy-cs-gradschool-work.md
consult-202306-seven-years-dev-us-miu-risk,02-normalized,qa_thread,7年软件开发经验者担心美国就业和H1B风险,出国读书和海外求职,"软件开发, 美国硕士, H1B, 英语, 就业市场","content, service",anonymized,normalized,问答咨询/202306.md,,02-normalized/consult-202306-seven-years-dev-us-miu-risk.md
consult-202311-age53-us-study-programmer,02-normalized,qa_thread,53岁英语教师想去美国再学习并尝试程序员工作,出国读书和海外求职,"大龄转型, 美国硕士, 编程, 英语, 教师","content, service",anonymized,normalized,问答咨询/202311.md,,02-normalized/consult-202311-age53-us-study-programmer.md
consult-202312-985-cs-silicon-valley-route,02-normalized,qa_thread,985计算机大一学生想规划硅谷工作路线,出国读书和海外求职,"985, 计算机, 硅谷, H1B, 美国硕士, 实习",content,anonymized,normalized,问答咨询/985大一想润.md,,02-normalized/consult-202312-985-cs-silicon-valley-route.md
consult-202312-age35-compliance-to-us-coder,02-normalized,qa_thread,35岁合规调查从业者想学代码，以码农身份和家人去美国,文科转码,"35岁, 转码, Python, 美国, 家庭, 阶段目标","content, service",private,normalized,问答咨询/202312.md,,02-normalized/consult-202312-age35-compliance-to-us-coder.md
consult-202312-art-tech-python-start,02-normalized,qa_thread,艺术科技创作者从零学习编程，是否可以从Python开始,AI学习和AI教育,"艺术科技, Python, 编程入门, 文科",content,anonymized,normalized,问答咨询/202312.md,,02-normalized/consult-202312-art-tech-python-start.md
consult-202312-hk-student-cs-degree-choice,02-normalized,qa_thread,香港软工专科生在港校本科和在线硕士规划之间选择,学历提升和考研,"香港, CS, 本科, 在线硕士, UIUC, 学校选择","content, service",anonymized,normalized,问答咨询/港大学生小刘.md,,02-normalized/consult-202312-hk-student-cs-degree-choice.md
consult-202312-law-to-cs-overseas-normalized,02-normalized,qa_thread,普通一本法学大三想转计算机并出国求职,文科转码,"法学, 转码, 出国, 女性处境, 考公考研","content, service",anonymized,normalized,问答咨询/一本法学专业大三想转码出国.md,,02-normalized/consult-202312-law-to-cs-overseas-normalized.md
consult-202312-liberal-arts-python-bootcamp,02-normalized,qa_thread,文科生转编程：如何判断兴趣、学习计划、培训班和社交资源,文科转码,"文科转码, Python, Java, 培训班, 社交, 实践","content, service",anonymized,normalized,问答咨询/202312.md,,02-normalized/consult-202312-liberal-arts-python-bootcamp.md
consult-20240823-siji-japan-qa-day1cpt,02-normalized,coaching_session,专科培训背景测试工程师在日本工作，探索Day 1 CPT和海外路径,出国读书和海外求职,"日本, 软件测试, Day1CPT, 英语, 专科","content, service, connection",private,normalized,一对一咨询/2024年8月/1-王林银.md,,02-normalized/consult-20240823-siji-japan-qa-day1cpt.md
consult-20240826-liuzhilong-dba-remote-grad,02-normalized,coaching_session,成都DBA远程研究生，积极上进但需求不够清晰,早期职业迷茫,"DBA, 成都, 远程研究生, 工程管理, 学习心态",service,private,normalized,一对一咨询/2024年8月/2-刘智龙.md,,02-normalized/consult-20240826-liuzhilong-dba-remote-grad.md
consult-20240830-chenxiaonian-northamerica-introvert-tl,02-normalized,coaching_session,深圳外企AI软件开发TL想切换到北美，但担心资金、英语和社交适应,出国读书和海外求职,"北美, AI, 软件开发, team_lead, 内向, 房贷","content, service, connection",private,normalized,一对一咨询/2024年8月/3-陈晓念.md,,02-normalized/consult-20240830-chenxiaonian-northamerica-introvert-tl.md
consult-20240906-mia-us-cs-work-growth,02-normalized,coaching_session,文科会计背景在美国转CS后，想提升工作能力和英语,文科转码,"美国, CS, 文科转码, 英语口语, bootcamp, ICC","content, service, connection",private,normalized,一对一咨询/2024年9月/4-Mia.md,,02-normalized/consult-20240906-mia-us-cs-work-growth.md
consult-20240907-wangkaichang-iqc-film-dream-introvert,02-normalized,coaching_session,惠州IQC内向男生想靠近影视剪辑梦想，但热情被现实磨损,家庭影响和自我边界,"内向, 影视, 剪辑, 亲密关系, 社交","content, service",private,normalized,一对一咨询/2024年9月/5-王开昌.md,,02-normalized/consult-20240907-wangkaichang-iqc-film-dream-introvert.md
consult-20240911-k-gpu-master-job-balance,02-normalized,coaching_session,北京GPU相关硕士担心开源代码看不懂和找不到工作,早期职业迷茫,"硕士, GPU, 开源代码, 找工作, 工作生活平衡","content, service",private,normalized,一对一咨询/2024年9月/6-K.md,,02-normalized/consult-20240911-k-gpu-master-job-balance.md
consult-20240914-alex-young-english-cs-family,02-normalized,coaching_session,20岁中专女生想学英语、探索计算机，也想往外走,家庭影响和自我边界,"年轻女性, 英语, 计算机, 中专, 家暴, 抑郁","content, service, connection",private,normalized,一对一咨询/2024年9月/7-Alex.md,,02-normalized/consult-20240914-alex-young-english-cs-family.md
consult-20240916-chengderong-rural-dev-writing-overseas,02-normalized,coaching_session,农村小县城出身后端开发者，想提升写作、英语和未来留学准备,早期职业迷茫,"后端开发, 自考, 农村, 写作, 英语, 留学","content, service, connection",private,normalized,一对一咨询/2024年9月/8-成得荣.md,,02-normalized/consult-20240916-chengderong-rural-dev-writing-overseas.md
consult-20240920-kami-ew3-cs-path,02-normalized,coaching_session,海外工作经历者已申请EW3，想判断CS转行和美国工作可能,出国读书和海外求职,"EW3, 海外工作, CS, 德国, 英语, 子女教育","content, service, connection",private,normalized,一对一咨询/2024年9月/9-咖眯.md,,02-normalized/consult-20240920-kami-ew3-cs-path.md
consult-20240928-agan-la-delivery-cs-mentor,02-normalized,coaching_session,在洛杉矶送外卖的Java背景咨询者想转程序员并寻找mentor,出国读书和海外求职,"美国, 洛杉矶, Java, 英语, mentor, 外卖","service, connection",private,normalized,一对一咨询/2024年9月/10-阿甘.md,,02-normalized/consult-20240928-agan-la-delivery-cs-mentor.md
consult-20240928-kerwin-first-overseas-study,02-normalized,coaching_session,初中毕业、自考本科中的技术从业者想出国留学,出国读书和海外求职,"初中毕业, 自考本科, 蚂蚁, 出国留学, 软件编程","content, service, connection",private,normalized,一对一咨询/2024年9月/11-Kerwin.md,,02-normalized/consult-20240928-kerwin-first-overseas-study.md
consult-20241007-shenhaiyu-underwear-pattern-maker-growth,02-normalized,coaching_session,潮汕女孩从服装厂流水线到内衣板师，稳定后想做得更好,早期职业迷茫,"女性处境, 潮汕, 服装, 内衣板师, 副业, 自卑","content, service, connection",private,normalized,一对一咨询/2024年10月/12-深海鱼.md,,02-normalized/consult-20241007-shenhaiyu-underwear-pattern-maker-growth.md
consult-20241018-yyyjjjsss-remote-dev-age35-plan,02-normalized,coaching_session,30岁Java开发担心35岁危机，想规划国外远程工作和多收入支线,早期职业迷茫,"Java, 年龄焦虑, 国外远程, 雅思, 副业, 退休规划","content, service, connection",private,normalized,一对一咨询/2024年10月/13-yyyjjjsss.md,,02-normalized/consult-20241018-yyyjjjsss-remote-dev-age35-plan.md
consult-20241028-qinghe-factory-doudian-programming-dream,02-normalized,coaching_session,有冲劲的咨询者想先打工攒钱，再学抖店、编程、英语和出国,早期职业迷茫,"工厂, 抖店, 编程, 英语, 出国, 梦想","content, service",private,normalized,一对一咨询/2024年10月/14-QINGHE20210418.md,,02-normalized/consult-20241028-qinghe-factory-doudian-programming-dream.md
consult-20250329-yangfan-ai-education-collaboration,02-normalized,collaboration,AI教育项目合作邀约与role model定位,商业合作和项目邀约,"AI, 教育, 合作邀约, role_model, 主动性",service,private,normalized,一对一咨询/20250329210011-转写_杨帆.txt,,02-normalized/consult-20250329-yangfan-ai-education-collaboration.md
consult-20250811-zhaogaoming-programming-english-action,02-normalized,consult_call,想学习编程和英语，但更需要行动驱动和连接,早期职业迷茫,"编程, 英语, 行动力, 社交, 个人成长","content, service, connection",private,normalized,一对一咨询/20250811122912-转写_赵高明 _ 孙玲.txt,,02-normalized/consult-20250811-zhaogaoming-programming-english-action.md
consult-20250820-silver-self-belief-creator-path,02-normalized,consult_call,21岁探索者在自我怀疑和创作路径中寻找力量,家庭影响和自我边界,"年轻女性, 自我怀疑, 留学, 创作, 家庭关系, 现金流","content, service, connection",private,normalized,一对一咨询/20250820122553-SIlver _ 孙玲.txt,,02-normalized/consult-20250820-silver-self-belief-creator-path.md
consult-20250828-amy-sweden-career-ai-regulation,02-normalized,consult_call,瑞典文科博士在教师路径和AI regulation之间重建职业,出国读书和海外求职,"瑞典, 文科, 教师, AI, 职业重建, 生育选择","content, service",private,normalized,一对一咨询/20250828120647-转写_Amy _ Ling.txt,,02-normalized/consult-20250828-amy-sweden-career-ai-regulation.md
consult-20250829-lil-burnout-newyork-life-direction,02-normalized,consult_call,从纽约到回国再到倦怠：长期折腾后如何重新选择,家庭影响和自我边界,"倦怠, 纽约, 教育, 自我比较, H1B, 回国","content, service, connection",private,normalized,一对一咨询/20250829115713-转写_Lil _ Ling.txt,,02-normalized/consult-20250829-lil-burnout-newyork-life-direction.md
consult-20250831-gongbaojiding-offer-choice,02-normalized,consult_call,初中毕业到软件测试：在甲方正编和英文环境外包之间选offer,早期职业迷茫,"软件测试, offer选择, 英语, 低学历, 出国, 加班","content, service, connection",private,normalized,一对一咨询/20250831205315-转写_Nsar-ns _ Ling.txt,,02-normalized/consult-20250831-gongbaojiding-offer-choice.md
consult-20250918-seven-midcareer-grief-career,02-normalized,consult_call,38岁品牌/会展从业者在哀伤、考研和职业重建中寻找方向,早期职业迷茫,"大龄职业转型, 哀伤, 心理学, 数据分析, 大厂, 事业单位","content, service, connection",private,normalized,一对一咨询/20250918140527-孙玲的个人会议室.txt,,02-normalized/consult-20250918-seven-midcareer-grief-career.md
consult-20250920-wzyan-programming-overseas-uncertainty,02-normalized,consult_call,29岁大专成人本科，辞职后想学编程和出国但不确定适不适合,文科转码,"大专, 成人本科, 编程, 出国, 迷茫, 广州","content, service",private,normalized,一对一咨询/20250920070005-转写_wzyan _ lingsun.txt,,02-normalized/consult-20250920-wzyan-programming-overseas-uncertainty.md
consult-20250921-zhaoyan-debt-overseas-work,02-normalized,consult_call,Java后端背负债务压力，想通过出国工作快速改善收入,出国读书和海外求职,"Java, 债务, 海外工作, 美国, 签证, 工作不稳定",service,private,normalized,一对一咨询/20250922115717-转写_wx_123_888 _ ling.txt,,02-normalized/consult-20250921-zhaoyan-debt-overseas-work.md
consult-20250923-siji-japan-ireland-language-school,02-normalized,consult_call,日本QA想去爱尔兰语言学校，追求英语、身份和更有尊严的生活,出国读书和海外求职,"日本, 爱尔兰, QA, 英语, 语言学校, 借钱, 身份","content, service",private,normalized,一对一咨询/20250923115513-转写_王林银 _ 孙玲.txt,,02-normalized/consult-20250923-siji-japan-ireland-language-school.md
consult-20250925-gongbaojiding-english-followup,02-normalized,consult_call,入职英文环境一个月后，如何提升英语和从QA走向更大可能,早期职业迷茫,"软件测试, 英语, QA, 测试开发, 美国留学, 职场成长","content, service, connection",private,normalized,一对一咨询/20250925120015-转写_龚保鸡丁.txt,,02-normalized/consult-20250925-gongbaojiding-english-followup.md
consult-20260208-huangzeming-self-study-degree-planning,02-normalized,consult_call,自考大专剩两科，想拆小目标完成学历并规划出国/艺术学校,学历提升和考研,"自考, 学历, 学习方法, 艺术学校, 出国, AI学习","content, service",private,normalized,一对一咨询/20260208130029-转写_黄泽明.txt,,02-normalized/consult-20260208-huangzeming-self-study-degree-planning.md
consult-20260308-kerwin-us-master-cloud-computing,02-normalized,consult_call,云计算从业者想申请美国硕士，突破非全日制学历和年龄焦虑,出国读书和海外求职,"云计算, 美国硕士, 非全日制学历, 英语, 大厂, 年龄焦虑","content, service, connection",private,normalized,一对一咨询/20260308125902-转写_Kerwin-转写智能优化版-1.txt,,02-normalized/consult-20260308-kerwin-us-master-cloud-computing.md
consult-20260610-tonylu-civil-eng-us-cs-transition,02-normalized,qa_thread,UCL土木硕士咨询美国转码与在线硕士路径,出国读书和海外求职,"转码, 在线硕士, 美国硕士, 英国硕士, 土木, 职业转型","content, service",private,normalized,一对一咨询/20260610-gmail-tonylu-transition-inquiry.md,,02-normalized/consult-20260610-tonylu-civil-eng-us-cs-transition.md
