person_id,display_name,real_name,contact_channel,contact_value,short_intro,primary_theme,tags,related_records,source_path,connection_fit,consent_to_connect,privacy_level,needs_review,notes
person-202211-4年java经验咨询者,4年Java经验咨询者,,,,想去美国爱荷华州，正在了解我曾就读的项目；在职状态未明确提及；有 4 年 Java 经验,出国读书和海外求职,"Java, MIU, 学费, 美国硕士, 英语",consult-202211-miu-java-esl-fees,问答咨询/202211.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202311-53岁英语教师,53岁英语教师,,,,53岁；想去美国再学习；初中英语教师/教育工作者，临近或考虑退休后重新开始；1991年师范大专英语专业毕业；成人英语教育硕士；初中英语教学,出国读书和海外求职,"大龄转型, 教师, 编程, 美国硕士, 英语",consult-202311-age53-us-study-programmer,问答咨询/202311.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202306-7年开发经验咨询者,7年开发经验咨询者,,,,国内；想去美国并留下；7年软件开发经验,出国读书和海外求职,"H1B, 就业市场, 美国硕士, 英语, 软件开发",consult-202306-seven-years-dev-us-miu-risk,问答咨询/202306.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202312-985-cs-大一学生,985 CS 大一学生,,,,大陆；目标是硅谷/美国科技公司；中流 985 计算机专业大一学生；本科在读，计算机专业；尚未工作,出国读书和海外求职,"985, H1B, 实习, 硅谷, 美国硕士, 计算机",consult-202312-985-cs-silicon-valley-route,问答咨询/985大一想润.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240914-alex,Alex,,,,20岁；女性；江苏老家；想往外走；刚拿到中专毕业证；商务英语相关；中考后进职业学校，先读大专，后因学不到东西转到中专,家庭影响和自我边界,"中专, 家暴, 年轻女性, 抑郁, 英语, 计算机",consult-20240914-alex-young-english-cs-family,一对一咨询/2024年9月/7-Alex.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250828-amy,Amy,,,,36岁；女性；瑞典；未来可能在瑞典/欧洲找工作；瑞典教育学相关硕士即将毕业，有一年找工作签证；文科背景，文学/政治哲学相关博士；现读教育学硕士,出国读书和海外求职,"AI, 教师, 文科, 瑞典, 生育选择, 职业重建",consult-20250828-amy-sweden-career-ai-regulation,一对一咨询/20250828120647-转写_Amy _ Ling.txt,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202312-blues-yang,blues yang,,,,文科背景,文科转码,"Java, Python, 培训班, 实践, 文科转码, 社交",consult-202312-liberal-arts-python-bootcamp,问答咨询/202312.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240911-k,K,,,,女性；北京；硕士在读，明年毕业；学校 title 好，专业热门，和 GPU 相关；即将求职；面试过英伟达,早期职业迷茫,"GPU, 工作生活平衡, 开源代码, 找工作, 硕士",consult-20240911-k-gpu-master-job-balance,一对一咨询/2024年9月/6-K.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240928-kerwin,Kerwin,,,,27岁，99年出生；男性；目前在郑州；想申请美国硕士/我曾读过的学校或类似项目；在职云计算从业者；没有读过高中；继续教育大专，安全与技术相关；自考本科，人力资源管理。大专成绩均分约88，本科约81,出国读书和海外求职,"云计算, 出国留学, 初中毕业, 大厂, 年龄焦虑, 美国硕士, 自考本科, 英语, 蚂蚁, 软件编程, 非全日制学历",consult-20240928-kerwin-first-overseas-study; consult-20260308-kerwin-us-master-cloud-computing,一对一咨询/2024年9月/11-Kerwin.md; 一对一咨询/20260308125902-转写_Kerwin-转写智能优化版-1.txt,maybe,unknown,private,yes,已合并 2 条候选记录；需人工确认联系方式、重复合并和连接意愿
person-20250829-lil,Lil,,,,90年出生，和我接近同龄；女性；曾在纽约、上海、成都、美国等地生活/工作；对纽约和美国其他城市都有比较；辞职后长期处于倦怠和方向重建阶段；2011年去纽约读教育与社会政策研究生；本科在哈尔滨一所二本,家庭影响和自我边界,"H1B, 倦怠, 回国, 教育, 纽约, 自我比较",consult-20250829-lil-burnout-newyork-life-direction,一对一咨询/20250829115713-转写_Lil _ Ling.txt,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20260122-marjorie,Marjorie,,,,,,,,人生教练/Marjorie/20260122090019-转写.txt; 人生教练/Marjorie/20260130090000-转写.txt; 人生教练/Marjorie/20260207020448-转写.txt,unknown,unknown,private,yes,已合并 3 条候选记录；需人工确认联系方式、重复合并和连接意愿
person-20240906-mia,Mia,,,,女性；美国；已在美国 CS 相关工作中；原来学文科/会计，后来在美国学 CS 转行；CS 相关工作，时薪约24美元,文科转码,"CS, ICC, bootcamp, 文科转码, 美国, 英语口语",consult-20240906-mia-us-cs-work-growth,一对一咨询/2024年9月/4-Mia.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20241028-qinghe,QINGHE,,,,女性；计划涉及工厂、抖店运营、编程等多个方向,早期职业迷茫,"出国, 工厂, 抖店, 梦想, 编程, 英语",consult-20241028-qinghe-factory-doudian-programming-dream,一对一咨询/2024年10月/14-QINGHE20210418.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250918-seven,seven,,,,约38岁，86年左右；女性；曾在北京、深圳、丽江、山东老家等地流动；未来方向未定；离职/待业和考研等待阶段；广告公司、会展、品牌活动、百度、事业单位、微软外包、华为外包等,早期职业迷茫,"事业单位, 哀伤, 大厂, 大龄职业转型, 心理学, 数据分析",consult-20250918-seven-midcareer-grief-career,一对一咨询/20250918140527-孙玲的个人会议室.txt,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250820-silver,Silver,,,,21岁；女性；湖南株洲；也提到邵阳、湖南老乡连接；向往留学和更大的世界；未明确提及；正在探索表达、内容输出和未来路径,家庭影响和自我边界,"创作, 家庭关系, 年轻女性, 现金流, 留学, 自我怀疑",consult-20250820-silver-self-belief-creator-path,一对一咨询/20250820122553-SIlver _ 孙玲.txt,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250920-wzyan,wzyan,,,,快29岁；广州；想去美国看看；即将离职，处于迷茫期；在房管部门相关岗位帮人查房子/处理群众情绪；前两份工作经家人介绍，工资和上限较低,文科转码,"出国, 大专, 广州, 成人本科, 编程, 迷茫",consult-20250920-wzyan-programming-overseas-uncertainty,一对一咨询/20250920070005-转写_wzyan _ lingsun.txt,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20241018-yyyjjjsss,yyyjjjsss,,,,30岁；国内；目标是国外远程工作；在职 Java 开发；Java 开发,早期职业迷茫,"Java, 副业, 国外远程, 年龄焦虑, 退休规划, 雅思",consult-20241018-yyyjjjsss-remote-dev-age35-plan,一对一咨询/2024年10月/13-yyyjjjsss.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240826-刘智龙,刘智龙,,,,32岁；男性；在职，同时读远程研究生；在平安做 DBA，约3年,早期职业迷茫,"DBA, 学习心态, 工程管理, 成都, 远程研究生",consult-20240826-liuzhilong-dba-remote-grad,一对一咨询/2024年8月/2-刘智龙.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240920-咖眯,咖眯,,,,92年出生；湖南郴州背景；目标美国，也考虑德国学徒制等路径；未明确提及；本科环境工程；有3年多海外工作经历，南非私企、尼日利亚央企，做清关和物流，偏英语和人际沟通,出国读书和海外求职,"CS, EW3, 子女教育, 德国, 海外工作, 英语",consult-20240920-kami-ew3-cs-path,一对一咨询/2024年9月/9-咖眯.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250923-四季,四季,,,,29岁左右，提到下个月满29岁；男性；目前在日本大阪附近工作；想去爱尔兰，考虑利莫里克、都柏林、科克等城市；在职 QA/测试从业者，日本台湾公司正式员工；QA/测试，在日本台湾公司工作；之前也在日本工作过,出国读书和海外求职,"QA, 借钱, 日本, 爱尔兰, 英语, 语言学校, 身份",consult-20250923-siji-japan-ireland-language-school,一对一咨询/20250923115513-转写_王林银 _ 孙玲.txt,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20250903-娟,娟,,,,,,,,人生教练/娟/20250903115806-转写.txt; 人生教练/娟/20250917120011-转写.txt; 人生教练/娟/20250930210009-转写.txt; 人生教练/娟/20260207225344-转写.txt,unknown,unknown,private,yes,已合并 4 条候选记录；需人工确认联系方式、重复合并和连接意愿
person-202312-小刘,小刘,,,,26岁；香港；香港软工相关专科第二年学生；软工相关专科在读；准备申请香港本科 CS/相关专业,学历提升和考研,"CS, UIUC, 在线硕士, 学校选择, 本科, 香港",consult-202312-hk-student-cs-degree-choice,问答咨询/港大学生小刘.md,unknown,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-202211-小城市女生a,小城市女生A,,,,22岁；女性；山西省一个小县城；曾在天津读专科；想过明年去北京工作；失业状态；专科毕业，网络教育本科明年毕业；专科专业是药品经营与管理，偏销售,小城市女性职业起步,"大城市, 女性处境, 家庭压力, 小城市, 找工作, 考研",consult-202211-small-city-work-study,问答咨询/202211.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
person-20240916-成得荣,成得荣,,,,29岁；男性；广东茂名小县城/农村出身，目前在佛山；未来考虑留学或海外体验；在职开发者；参加过自考；曾在培训学校学习2年,早期职业迷茫,"写作, 农村, 后端开发, 留学, 自考, 英语",consult-20240916-chengderong-rural-dev-writing-overseas,一对一咨询/2024年9月/8-成得荣.md,maybe,unknown,private,yes,需人工确认联系方式、重复合并和连接意愿
