Silver(00:00:00): 音频也可以。

孙玲(00:00:03): 现在看着还行。

Silver(00:00:08): Ok. 

孙玲(00:00:10): 好谢谢你配合我的时间又推迟了半个小时才意识到我们19点开始，然后我八点五十才在吃饭就有利用了一些时间，然后也恰好可以看你。再认把你给我发的消息再认真看了一遍，很感谢，就是你花那么多心思，把自己的情况显得这么清楚，就是我能感受到你真的有在认真的面对你自己的认真和负责。也感受到我这里也有一些困惑和一些压力，我觉得我们今天的交流也不一定能够把所有的问题都能够解决，但是我希望可以帮你梳理一些思路，陪你看看哪些地方可以获得更多的一些清晰度。我们就是一个我也让尽量让自己比较轻松，就是从容的去处理这个对话，一起探索的一个角度，互相交流，互相认识。

孙玲(00:01:17): 好像确实有点卡。

Silver(00:01:29): 现在？

孙玲(00:01:31): 有点卡就是我能缓缓的可以看到你在动，我说话不知道那边有没有，但是我一直还没有听到你的回应。

Silver(00:01:40): 我真的很想跟你视频。要不然我们微信打一个试一下可以吗？

孙玲(00:01:59): 可以微信我觉得不太能录制耶没办法录制。

Silver(00:02:04): 没事。我自己录屏或者是我自己稍微记一下就可以了。

孙玲(00:02:09): 行好，那我也用微信。

Silver(00:02:12): 我那我们这边可以先我觉得可以这边对先退出，然后我给你微信或者能不能这边切语音，然后我们可以保留这个语音，因为你手你如果手机打语音也是用这个设备。

孙玲(00:02:20): 好，我先退出。

孙玲(00:02:35): 但是我感觉现在为什么可以了？现在好像一点都不卡。

Silver(00:02:38): 没事，那就那我那就先交流五分钟，如果我们再卡再换，如果再卡就换可以。

孙玲(00:02:46): 香对好没问题。

Silver(00:02:50): 对我感觉姐姐其实也关注了你挺久，然后包括之前看到你写自己的故事，每次都觉得很厉害，然后包括今天跟你说，我们就是我感觉真的很谦虚，也很温和，我觉得就是能够这么认真的看完我的。内容的话本身也是一种，你还跟我说谢谢，本来写这个，我觉得是我的责任，然后我确实觉得今天的交流我们不用把它说一定要解决什么什么问题，你说的，我们就是互相认识一下，然后我觉得在某一些方面，我们可能。你能给我更多的启发，我就很满足了，也不是说一定要抱着什么样的一个目的来，就我觉得这个也目的性太强了，也不用这样。

孙玲(00:03:35): 我也是这样想的，我这好勇敢，其实你现在21岁有这么非常清晰的一些思路，有在尝试各种各样子的方式，虽然可能现在你有一些卡点，缺乏一些动力，但是我发现真的就是这个探索的过程。

Silver(00:03:38): 对。

孙玲(00:03:59): 你肯定后面慢慢走都会路越走越宽清晰，都会越来越清晰。

Silver(00:04:07): 对我每次听到这些赞美的时候，我一方面会觉得真的很感谢这种欣赏，另一方面我也会怀疑自己是不是真的这样，因为可能一种赞美，一种贬低的声音是同时存在的，然后都是因为我同一个行为而产生的，有时候我是没办法去分辨。但是我觉得我自己应该要有一些坚定自己信念的能力，然后我也觉得自己的信息源要经过一些筛选，因为其实我也会好奇，就是说你看了这些。

Silver(00:04:41): 我最开始就有问到说比较好奇，就是你执行力很强，然后我看你一直在输出，刚刚还输出了一篇公众号就是讲这个写作的，然后我也看了。

孙玲(00:04:51): 对电视群发我最近写东西就还挺多想法的，所以就有一直在就更新的还比较频率比较高，但是之前就随缘不定期想要什么就更新什么。

Silver(00:04:53): 对我在。

Silver(00:05:08): 因为我觉得像你这种持续保持阅读和学习真的是一种蛮可贵的能力，我会，其实我自己也不能说没有吧，我也挺爱在朋友圈发东西，或者我自己有公众号会发。但是也是不太稳定，然后像尤其是因为因为我觉得你是同事，因为你又是程序员，就是这种理科也很厉害，文科也很厉害。

Silver(00:05:36): 像我可能就是觉得像编程，我之前也稍微尝试过学习一下，我感觉对我来说会特别艰难，也很佩服你，所以就好奇，想问一下，就当你就是。可能最开始在会不会你的学习有一个不被身边人所理解的阶段，然后在面对这种压力的时候是什么，就是支撑你能够坚持去完成自己的目标？

孙玲(00:06:05): 我之前去学习编程，然后去留学，结果家里人也都是非常不支持的状态。

Silver(00:06:15): 好想象。

